Quarter,Cumulative Drawdown,Cumulative DPI,RVPI
1,3.75%,0.000x,0.940x
2,7.50%,0.000x,0.940x
3,11.25%,0.000x,0.940x
4,15.00%,0.000x,0.940x
5,21.25%,0.000x,0.941x
6,27.50%,0.000x,0.943x
7,33.75%,0.000x,0.944x
8,40.00%,0.000x,0.945x
9,45.00%,0.001x,0.947x
10,50.00%,0.002x,0.948x
11,55.00%,0.003x,0.949x
12,60.00%,0.004x,0.951x
13,63.75%,0.008x,0.952x
14,67.50%,0.012x,0.953x
15,71.25%,0.017x,0.952x
16,75.00%,0.023x,0.954x
17,77.50%,0.027x,0.957x
18,80.00%,0.040x,0.960x
19,82.50%,0.056x,0.956x
20,85.00%,0.074x,0.954x
21,87.50%,0.098x,0.953x
22,90.00%,0.126x,0.950x
23,92.50%,0.158x,0.941x
24,95.00%,0.192x,0.930x
25,96.25%,0.237x,0.921x
26,97.50%,0.282x,0.910x
27,98.75%,0.329x,0.894x
28,100.00%,0.380x,0.873x
29,100.00%,0.446x,0.851x
30,100.00%,0.515x,0.827x
31,100.00%,0.589x,0.796x
32,100.00%,0.666x,0.765x
33,100.00%,0.747x,0.731x
34,100.00%,0.831x,0.695x
35,100.00%,0.920x,0.653x
36,100.00%,1.013x,0.612x
37,100.00%,1.092x,0.572x
38,100.00%,1.173x,0.528x
39,100.00%,1.259x,0.485x
40,100.00%,1.350x,0.444x
41,100.00%,1.406x,0.405x
42,100.00%,1.460x,0.362x
43,100.00%,1.517x,0.325x
44,100.00%,1.573x,0.291x
45,100.00%,1.629x,0.263x
46,100.00%,1.684x,0.234x
47,100.00%,1.741x,0.208x
48,100.00%,1.797x,0.182x
49,100.00%,1.835x,0.156x
50,100.00%,1.872x,0.130x
51,100.00%,1.910x,0.104x
52,100.00%,1.948x,0.078x
53,100.00%,1.968x,0.052x
54,100.00%,1.981x,0.026x
55,100.00%,1.995x,0.009x
56,100.00%,2.000x,0.000x
57,100.00%,2.000x,0.000x
58,100.00%,2.000x,0.000x
59,100.00%,2.000x,0.000x
60,100.00%,2.000x,0.000x
