Vintage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1993,0.842654481,0.914083008,0.93145862,0.952172851,0.974347046,0.99246331,1.069377506,1.239539137,1.263791723,1.322386114,1.18909449,1.152467365,1.113919283,1.239113445,1.429184153,1.181014415,0.874359845,0.981786825,0.983061815,1.159857197,0.871838921,0.930887077,0.850373522,0.864807063,0.895407541,0.979995688,1.007955575,0.852563117,0.627173783,0.517521735,0.452970633,0.443434178,0.379583569,0.380974948,0.378845879,0.36208156,0.341998855,0.317069277,0.298181582,0.315734263,0.344800651,0.222386966,0.3444686,0.205920615,0.128051921,0.143463253,0.14565661,0.095319385,0.078430675,0.039356889,0.041663896,0.047540045,0.047396921,0.058663462,0.027665018,0.018604574,0.022385675,0.024720436,0.015225941,0.014020253
1994,0.808902244,0.776238254,0.884406661,0.896035569,0.893138941,0.972055017,0.948312728,0.96363527,1.090701978,1.126912971,1.127752696,1.109884774,1.079892102,1.136809808,1.04733041,1.170720625,1.190891888,1.193017839,1.289302173,1.241265723,0.965550295,1.004541045,1.199072516,1.295454953,1.293764815,1.128692024,0.837948692,0.706739893,0.631872896,0.618272656,0.582495335,0.500341584,0.468101141,0.403834243,0.378143148,0.392532729,0.407468283,0.499557222,0.449990315,0.347028656,0.389515059,0.414317354,0.3042786,0.311776852,0.320778232,0.345142722,0.45109941,0.291038019,0.225725058,0.148654579,0.166329469,0.16533464,0.122902375,0.249058214,0.231901058,0.009634606,0.009646395,0.009872879,0.009348818,0.005655987
1995,0.988229474,0.996866034,1.018857072,0.99009167,1.022153518,1.035374517,1.097549204,1.084865137,1.060171289,1.052908381,1.062193589,1.019279098,1.081526603,1.158311955,1.111393369,1.165442224,1.19415893,1.265208006,1.200476619,1.315130277,1.694496774,1.735166187,1.068871039,0.802896444,0.601249744,0.676100153,0.581599711,0.595811543,0.569804639,0.492717509,0.413637668,0.38925299,0.37965079,0.39275924,0.362130036,0.332686637,0.294640318,0.276108214,0.209713693,0.238912307,0.226536997,0.221842405,0.203711946,0.187342493,0.184685952,0.153424371,0.165044922,0.134216745,0.118980891,0.192697172,0.271402542,0.102117126,0.044932624,0.043272681,0.027900543,0.014417989,0.013164151,0.014766782,0.01409248,0.012433617
1996,0.992196938,0.967484611,0.95673331,0.943789407,0.902786965,0.954677657,0.972260449,1.0169982,0.998697263,0.99092365,1.037505276,0.898492511,0.835088593,0.817136547,0.979633646,0.905712344,0.844363934,0.759439335,0.722668787,0.583138856,0.53701088,0.48106544,0.48656481,0.495126978,0.481095541,0.411002964,0.362817706,0.370691403,0.369146696,0.363561315,0.440548524,0.425399098,0.363866277,0.298509146,0.393960003,0.427840799,0.410387907,0.384144058,0.270054103,0.265533528,0.250206332,0.252330299,0.260618423,0.273750744,0.220951406,0.262042902,0.195722453,0.186984797,0.159999969,0.120226394,0.085958505,0.069713353,0.051922427,0.053063927,0.076502287,0.076139498,0.068533342,0.072887437,0.071713658,
1997,0.879352519,0.93364336,0.940427448,0.946391909,0.950015282,1.039074636,1.016081076,1.040312282,1.092349716,1.197965552,1.181680811,1.834829357,1.678723274,1.740512607,1.451477355,1.185454317,1.097399305,0.983619519,0.80497855,0.779341109,0.756455255,0.715377981,0.630861108,0.619823059,0.576460782,0.565311596,0.552681865,0.536431254,0.506274883,0.459796802,0.435714474,0.382034159,0.36216644,0.361014648,0.310303984,0.263703767,0.253083179,0.254311657,0.25506775,0.196146406,0.192451086,0.203312073,0.18147764,0.161792065,0.156595835,0.150082175,0.147655768,0.107725003,0.1078743,0.107235622,0.111971478,0.115304528,0.116501662,0.103790767,0.1144988,0.089750992,0.076968857,0.076386348,0.066988796,0.057797561
1998,0.960461434,0.930361457,0.942892125,0.954749244,0.950845167,1.125993389,1.11337916,1.333497199,1.40840892,1.279159576,1.186501021,1.106201471,0.966545375,0.972644431,0.868543869,0.82681326,0.785110811,0.730572525,0.663716239,0.639359227,0.6252687,0.654221904,0.666314571,0.675090805,0.658699738,0.651233308,0.620032384,0.637824731,0.569963074,0.571621268,0.508900374,0.475758995,0.465688064,0.444910823,0.427043141,0.394253997,0.380735648,0.348034891,0.323805301,0.263453593,0.239577625,0.219642763,0.18886914,0.148741786,0.143354519,0.149664395,0.15865559,0.143641599,0.145784172,0.142121003,0.122296154,0.096790385,0.098203889,0.079005061,0.051640537,0.040282309,0.038689992,0.034367804,0.036428828,0.029563901
1999,0.896071827,0.958379807,0.971509918,1.073481111,1.171466436,1.206206325,1.212887209,1.096611397,0.999814033,0.949182302,0.841706604,0.782553967,0.765984573,0.677369129,0.652040844,0.624151212,0.590422557,0.58963786,0.628450918,0.631090386,0.610113462,0.580061907,0.563837212,0.550087812,0.530637967,0.530569378,0.528362759,0.500212121,0.489922897,0.464026317,0.456396852,0.411249877,0.393818078,0.357383476,0.352500959,0.316445503,0.296752758,0.293575753,0.275579338,0.23261677,0.217252428,0.216128713,0.223933791,0.2121871,0.219322757,0.194755273,0.184839545,0.189462576,0.193438986,0.174102058,0.150127741,0.123281895,0.121840214,0.102180244,0.097671791,0.083128493,0.081028581,0.068996117,0.061251792,0.055873126
2000,0.969223859,0.888027511,0.861334066,0.862551199,0.813487217,0.865621041,0.74798475,0.772267072,0.736302248,0.691511173,0.718384026,0.752763647,0.774991439,0.799187827,0.808143457,0.840508154,0.823430777,0.816417242,0.815691959,0.839008799,0.828287308,0.846520269,0.867008392,0.941744569,0.89794375,0.885316904,0.820318959,0.843060021,0.81144498,0.823970378,0.768515581,0.734163193,0.662545626,0.621706285,0.565444027,0.481437756,0.461783687,0.472440657,0.489128685,0.48508389,0.462590499,0.412159409,0.411004644,0.381398338,0.361221207,0.320155382,0.250296291,0.238145345,0.231120634,0.221202848,0.17160455,0.161038877,0.156658268,0.152521031,0.148869566,0.132694509,0.126071142,0.1137971,0.101684736,0.09630152
2001,0.95894152,1.095014882,0.884652696,0.867097617,0.895516129,0.902472431,0.850230239,0.898064978,0.922988145,0.920942864,0.875176064,0.965389735,0.869432197,0.802304467,0.785098127,0.928803755,0.878537192,0.919741839,0.898176834,0.918226726,0.80590266,0.831482067,0.759128214,0.826832912,0.783025417,0.740903902,0.647401397,0.66381912,0.623793428,0.535782802,0.489527919,0.383998965,0.367381007,0.361733968,0.347371745,0.383078068,0.338138518,0.330056603,0.343082693,0.325491982,0.326592362,0.278474277,0.255673386,0.235855413,0.239146048,0.224824125,0.212267724,0.189637637,0.186877997,0.165035681,0.139978293,0.115767585,0.110017766,0.098921898,0.092549965,0.068937181,0.062991265,0.063625606,0.056515625,0.048518022
2002,0.938552277,1.03427757,1.13455824,1.064893736,0.887869829,0.79555219,0.716189385,0.654166163,0.646497584,0.696252321,0.70471424,0.683983425,0.736795796,0.921250606,0.885585983,0.907310269,0.902708201,1.010037732,0.946118826,1.026649083,0.864077787,0.861611479,0.871516805,0.875769254,0.853188712,0.80462979,0.775338249,0.791860545,0.810176506,0.903066517,0.946615753,0.974713984,1.090185229,0.847739314,0.862439316,0.819505208,0.79147906,0.762485914,0.608948321,0.588830793,0.586073238,0.424484663,0.372281938,0.302693113,0.311825297,0.343552998,0.230983719,0.248279224,0.234629333,0.235136675,0.218400839,0.187286638,0.187071791,0.19807643,0.207021374,0.228544851,0.279381695,0.034823424,,
