Quarter,BO Qtrly Drawdown,BO RVPI,VC Qtrly Drawdown,VC RVPI,Secondary Drawdown,Secondary RVPI,Direct Equity Drawdown,Direct Equity RVPI
1,3.75%,0.940x,3.38%,0.940x,100.00%,0.985x,100.00%,1.000x
2,3.75%,0.940x,3.38%,0.940x,0.00%,0.969x,0.00%,1.000x
3,3.75%,0.940x,3.38%,0.940x,0.00%,0.954x,0.00%,1.000x
4,3.75%,0.940x,3.38%,0.940x,0.00%,0.939x,0.00%,1.000x
5,6.25%,0.941x,5.63%,0.953x,0.00%,0.910x,0.00%,1.000x
6,6.25%,0.943x,5.63%,0.965x,0.00%,0.880x,0.00%,1.000x
7,6.25%,0.944x,5.63%,0.978x,0.00%,0.851x,0.00%,1.000x
8,6.25%,0.945x,5.63%,0.991x,0.00%,0.822x,0.00%,1.000x
9,5.00%,0.947x,4.50%,1.003x,0.00%,0.781x,0.00%,1.063x
10,5.00%,0.948x,4.50%,1.016x,0.00%,0.740x,0.00%,1.125x
11,5.00%,0.949x,4.50%,1.029x,0.00%,0.699x,0.00%,1.188x
12,5.00%,0.951x,4.50%,1.041x,0.00%,0.658x,0.00%,1.250x
13,3.75%,0.952x,3.38%,1.054x,0.00%,0.613x,0.00%,1.250x
14,3.75%,0.953x,3.38%,1.062x,0.00%,0.568x,0.00%,1.250x
15,3.75%,0.952x,3.38%,1.074x,0.00%,0.523x,0.00%,1.250x
16,3.75%,0.954x,3.38%,1.086x,0.00%,0.478x,0.00%,1.250x
17,2.50%,0.957x,2.25%,1.101x,0.00%,0.437x,0.00%,1.313x
18,2.50%,0.960x,2.25%,1.114x,0.00%,0.396x,0.00%,1.375x
19,2.50%,0.956x,2.25%,1.131x,0.00%,0.354x,0.00%,1.438x
20,2.50%,0.954x,2.25%,1.138x,0.00%,0.313x,0.00%,1.500x
21,2.50%,0.953x,2.25%,1.148x,0.00%,0.284x,0.00%,1.125x
22,2.50%,0.950x,2.25%,1.152x,0.00%,0.254x,0.00%,0.750x
23,2.50%,0.941x,2.25%,1.165x,0.00%,0.225x,0.00%,0.375x
24,2.50%,0.930x,2.25%,1.163x,0.00%,0.195x,0.00%,0.000x
25,1.25%,0.921x,2.13%,1.161x,0.00%,0.167x,0.00%,0.000x
26,1.25%,0.910x,1.13%,1.159x,0.00%,0.140x,0.00%,0.000x
27,1.25%,0.894x,1.13%,1.168x,0.00%,0.112x,0.00%,0.000x
28,1.25%,0.873x,1.13%,1.158x,0.00%,0.084x,0.00%,0.000x
29,0.00%,0.851x,1.13%,1.142x,0.00%,0.063x,0.00%,0.000x
30,0.00%,0.827x,1.13%,1.118x,0.00%,0.042x,0.00%,0.000x
31,0.00%,0.796x,1.13%,1.106x,0.00%,0.021x,0.00%,0.000x
32,0.00%,0.765x,1.13%,1.077x,0.00%,0.000x,0.00%,0.000x
33,0.00%,0.731x,1.13%,1.047x,0.00%,0.000x,0.00%,0.000x
34,0.00%,0.695x,1.13%,1.009x,0.00%,0.000x,0.00%,0.000x
35,0.00%,0.653x,1.13%,0.980x,0.00%,0.000x,0.00%,0.000x
36,0.00%,0.612x,1.13%,0.937x,0.00%,0.000x,0.00%,0.000x
37,0.00%,0.572x,0.00%,0.897x,0.00%,0.000x,0.00%,0.000x
38,0.00%,0.528x,0.00%,0.846x,0.00%,0.000x,0.00%,0.000x
39,0.00%,0.485x,0.00%,0.802x,0.00%,0.000x,0.00%,0.000x
40,0.00%,0.444x,0.00%,0.750x,0.00%,0.000x,0.00%,0.000x
41,0.00%,0.405x,0.00%,0.709x,0.00%,0.000x,0.00%,0.000x
42,0.00%,0.362x,0.00%,0.661x,0.00%,0.000x,0.00%,0.000x
43,0.00%,0.325x,0.00%,0.617x,0.00%,0.000x,0.00%,0.000x
44,0.00%,0.291x,0.00%,0.566x,0.00%,0.000x,0.00%,0.000x
45,0.00%,0.263x,0.00%,0.525x,0.00%,0.000x,0.00%,0.000x
46,0.00%,0.234x,0.00%,0.486x,0.00%,0.000x,0.00%,0.000x
47,0.00%,0.208x,0.00%,0.447x,0.00%,0.000x,0.00%,0.000x
48,0.00%,0.182x,0.00%,0.405x,0.00%,0.000x,0.00%,0.000x
49,0.00%,0.156x,0.00%,0.364x,0.00%,0.000x,0.00%,0.000x
50,0.00%,0.130x,0.00%,0.326x,0.00%,0.000x,0.00%,0.000x
51,0.00%,0.104x,0.00%,0.290x,0.00%,0.000x,0.00%,0.000x
52,0.00%,0.078x,0.00%,0.253x,0.00%,0.000x,0.00%,0.000x
53,0.00%,0.052x,0.00%,0.217x,0.00%,0.000x,0.00%,0.000x
54,0.00%,0.026x,0.00%,0.181x,0.00%,0.000x,0.00%,0.000x
55,0.00%,0.009x,0.00%,0.145x,0.00%,0.000x,0.00%,0.000x
56,0.00%,0.000x,0.00%,0.109x,0.00%,0.000x,0.00%,0.000x
57,0.00%,0.000x,0.00%,0.072x,0.00%,0.000x,0.00%,0.000x
58,0.00%,0.000x,0.00%,0.036x,0.00%,0.000x,0.00%,0.000x
59,0.00%,0.000x,0.00%,0.012x,0.00%,0.000x,0.00%,0.000x
60,0.00%,0.000x,0.00%,0.000x,0.00%,0.000x,0.00%,0.000x
